c/s,deg,ord,IGRF,IGRF.1,IGRF.2,IGRF.3,IGRF.4,IGRF.5,IGRF.6,IGRF.7,IGRF.8,DGRF,DGRF.1,DGRF.2,DGRF.3,DGRF.4,DGRF.5,DGRF.6,DGRF.7,DGRF.8,DGRF.9,DGRF.10,DGRF.11,DGRF.12,DGRF.13,DGRF.14,IGRF.9,SV
g,9,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-4.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.58,3.45,3.02,2.9,0.0
h,9,2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,17.0,19.0,12.0,12.0,15.0,16.0,16.0,16.0,15.0,15.0,15.0,13.4,12.69,11.51,10.76,11.0,0.0
g,9,3,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-12.0,-12.0,-12.0,-11.0,-25.0,-5.0,-9.0,-13.0,-12.0,-12.0,-12.0,-12.0,-12.0,-10.0,-8.4,-6.94,-5.27,-3.22,-1.5,0.0
h,9,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,29.0,12.0,7.0,2.0,7.0,6.0,7.0,9.0,9.0,11.0,12.0,12.5,12.67,12.75,11.74,9.8,0.0
g,9,4,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,3.0,10.0,2.0,1.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,6.3,5.01,3.13,0.67,-1.1,0.0
h,9,4,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-9.0,2.0,6.0,0.0,-4.0,-4.0,-4.0,-5.0,-6.0,-7.0,-6.0,-6.2,-6.72,-7.14,-6.74,-5.1,0.0
g,9,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,5.0,4.0,4.0,-1.0,-1.0,-1.0,-3.0,-3.0,-4.0,-8.0,-8.9,-10.76,-12.38,-13.2,-13.2,0.0
h,9,5,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-3.0,-3.0,4.0,2.0,-2.0,-3.0,-5.0,-5.0,-5.0,-6.0,-6.0,-7.0,-8.0,-8.4,-8.16,-7.42,-6.88,-6.3,0.0
g,9,6,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-3.0,-5.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.5,-1.25,-0.76,-0.1,1.1,0.0
h,9,6,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.4,8.1,7.97,7.79,7.8,0.0
g,9,7,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,-4.0,-2.0,2.0,-2.0,5.0,3.0,4.0,7.0,7.0,7.0,10.0,9.3,8.76,8.43,8.68,8.8,0.0
h,9,7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,6.0,8.0,7.0,8.0,10.0,11.0,11.0,10.0,9.0,8.0,5.0,3.8,2.92,2.14,1.04,0.4,0.0
g,9,8,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,-2.0,-4.3,-6.66,-8.42,-9.06,-9.3,0.0
h,9,8,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-11.0,-6.0,0.0,-4.0,-2.0,-3.0,-6.0,-7.0,-7.0,-8.0,-8.2,-7.73,-6.08,-3.89,-1.4,0.0
g,9,9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-4.0,8.0,5.0,-1.0,-2.0,-1.0,-2.0,-5.0,-5.0,-6.0,-8.0,-8.2,-9.22,-10.08,-10.54,-11.9,0.0
h,9,9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,-7.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.8,6.01,7.01,8.44,9.6,0.0
g,10,0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-8.0,-3.0,1.0,-2.0,-3.0,-3.0,-4.0,-4.0,-3.0,-3.0,-2.6,-2.17,-1.94,-2.01,-1.9,0.0
g,10,1,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,11.0,4.0,-5.0,-3.0,-3.0,-3.0,-3.0,-4.0,-4.0,-4.0,-6.0,-6.0,-6.12,-6.24,-6.26,-6.2,0.0
h,10,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,13.0,-4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.7,2.19,2.73,3.28,3.4,0.0
g,10,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,-1.0,-1.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.7,1.42,0.89,0.17,-0.1,0.0
h,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,-0.1,-0.4,-0.2,0.0
g,10,3,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,2.0,13.0,2.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-4.0,-3.1,-2.35,-1.07,0.55,1.7,0.0
h,10,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-20.0,-10.0,-8.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.46,4.71,4.55,3.6,0.0
g,10,4,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-5.0,-4.0,-3.0,-1.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-1.0,-0.5,-0.15,-0.16,-0.55,-0.9,0.0
h,10,4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,-1.0,2.0,-2.0,2.0,6.0,4.0,4.0,6.0,6.0,6.0,5.0,4.9,4.76,4.44,4.4,4.8,0.0
g,10,5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,-1.0,4.0,7.0,4.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,3.7,3.06,2.45,1.7,0.7,0.0
h,10,5,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-6.0,-3.0,-4.0,-5.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-5.0,-5.9,-6.58,-7.22,-7.92,-8.6,0.0
g,10,6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,12.0,4.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,0.29,-0.33,-0.67,-0.9,0.0
h,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.2,-1.01,-0.96,-0.61,-0.1,0.0
g,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,-2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.06,2.13,2.13,1.9,0.0
h,10,7,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-4.0,-3.0,-3.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.9,-3.47,-3.95,-4.16,-4.3,0.0
g,10,8,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,-3.0,2.0,6.0,-1.0,2.0,0.0,0.0,2.0,2.0,3.0,5.0,4.2,3.77,3.09,2.33,1.4,0.0
h,10,8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-2.0,6.0,7.0,6.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,0.2,-0.86,-1.99,-2.85,-3.4,0.0
g,10,9,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,10.0,-2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,0.3,-0.21,-1.03,-1.8,-2.4,0.0
h,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-2.0,-2.2,-2.31,-1.97,-1.12,-0.1,0.0
g,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,3.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.1,-2.09,-2.8,-3.59,-3.8,0.0
h,10,10,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-2.0,8.0,-3.0,-7.0,-6.0,-4.0,-5.0,-6.0,-6.0,-6.0,-7.0,-7.4,-7.93,-8.31,-8.72,-8.8,0.0
g,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.95,3.05,3.0,3.0,0.0
g,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,-1.6,-1.48,-1.4,-1.4,0.0
h,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.26,0.13,0.0,0.0,0.0
g,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,-1.88,-2.03,-2.3,-2.5,0.0
h,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.44,1.67,2.11,2.5,0.0
g,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.44,1.65,2.08,2.3,0.0
h,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,-0.77,-0.66,-0.6,-0.6,0.0
g,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.31,-0.51,-0.79,-0.9,0.0
h,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,-2.27,-1.76,-1.05,-0.4,0.0
g,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29,0.54,0.58,0.3,0.0
h,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.85,0.76,0.6,0.0
g,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-0.79,-0.79,-0.7,-0.7,0.0
h,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-0.58,-0.39,-0.2,-0.2,0.0
g,11,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.53,0.37,0.14,-0.1,0.0
h,11,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8,-2.69,-2.51,-2.12,-1.7,0.0
g,11,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.8,1.79,1.7,1.4,0.0
h,11,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,-1.08,-1.27,-1.44,-1.6,0.0
g,11,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.16,0.12,-0.22,-0.6,0.0
h,11,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-1.58,-2.11,-2.57,-3.0,0.0
g,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.96,0.75,0.44,0.2,0.0
h,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,-1.9,-1.94,-2.01,-2.0,0.0
g,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.99,3.75,3.49,3.1,0.0
h,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,-1.39,-1.86,-2.34,-2.6,0.0
g,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-2.15,-2.12,-2.09,-2.0,0.0
g,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.29,-0.21,-0.16,-0.1,0.0
h,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.55,-0.87,-1.08,-1.2,0.0
g,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.21,0.3,0.46,0.5,0.0
h,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.23,0.27,0.37,0.5,0.0
g,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.89,1.04,1.23,1.3,0.0
h,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.38,2.13,1.75,1.4,0.0
g,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.38,-0.63,-0.89,-1.2,0.0
h,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,-2.63,-2.49,-2.19,-1.8,0.0
g,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.96,0.95,0.85,0.7,0.0
h,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.61,0.49,0.27,0.1,0.0
g,12,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.3,-0.11,0.1,0.3,0.0
h,12,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.59,0.72,0.8,0.0
g,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.46,0.52,0.54,0.5,0.0
h,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.09,-0.2,0.0
g,12,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.35,-0.39,-0.37,-0.3,0.0
h,12,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.13,0.29,0.6,0.0
g,12,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.36,-0.37,-0.43,-0.5,0.0
h,12,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.28,0.27,0.23,0.2,0.0
g,12,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.08,0.21,0.22,0.1,0.0
h,12,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,-0.87,-0.86,-0.89,-0.9,0.0
g,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.49,-0.77,-0.94,-1.1,0.0
h,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.34,-0.23,-0.16,0.0,0.0
g,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.08,0.04,-0.03,-0.3,0.0
h,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.88,0.87,0.72,0.5,0.0
g,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.16,-0.09,-0.02,0.1,0.0
g,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,-0.88,-0.89,-0.92,-0.9,0.0
h,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,-0.76,-0.87,-0.88,-0.9,0.0
g,13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.31,0.42,0.5,0.0
h,13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.33,0.3,0.49,0.6,0.0
g,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.28,0.42,0.63,0.7,0.0
h,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.72,1.66,1.56,1.4,0.0
g,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.43,-0.45,-0.42,-0.3,0.0
h,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.54,-0.59,-0.5,-0.4,0.0
g,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.18,1.08,0.96,0.8,0.0
h,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.07,-1.14,-1.24,-1.3,0.0
g,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.37,-0.31,-0.19,0.0,0.0
h,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.04,-0.07,-0.1,-0.1,0.0
g,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.75,0.78,0.81,0.8,0.0
h,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.63,0.54,0.42,0.3,0.0
g,13,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.26,-0.18,-0.13,0.0,0.0
h,13,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.21,0.1,-0.04,-0.1,0.0
g,13,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.35,0.38,0.38,0.4,0.0
h,13,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.53,0.49,0.48,0.5,0.0
g,13,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.05,0.02,0.08,0.1,0.0
h,13,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.38,0.44,0.48,0.5,0.0
g,13,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.41,0.42,0.46,0.5,0.0
h,13,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.22,-0.25,-0.3,-0.4,0.0
g,13,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.26,-0.35,-0.5,0.0
h,13,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.57,-0.53,-0.43,-0.4,0.0
g,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.18,-0.26,-0.36,-0.4,0.0
h,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,-0.82,-0.79,-0.71,-0.6,0.0
